COUNTY,monthly_rent
Adams County,$658
Asotin County,$728
Benton County,$841
Chelan County,$791
Clallam County,$788
Clark County,"$1,208"
Columbia County,$800
Cowlitz County,$748
Douglas County,$791
Ferry County,$738
Franklin County,$841
Garfield County,$658
Grant County,$701
Grays Harbor County,$831
Island County,$984
Jefferson County,$954
King County,"$1,523"
Kitsap County,"$1,015"
Kittitas County,$880
Klickitat County,$817
Lewis County,$860
Lincoln County,$658
Mason County,$960
Okanogan County,$726
Pacific County,$852
Pend Oreille County,$696
Pierce County *,"$1,126"
San Juan County,"$1,010"
Skagit County,$962
Skamania County,"$1,208"
Snohomish County,"$1,523"
Spokane County,$789
Stevens County,$658
Thurston County,"$1,021"
Wahkiakum County,$658
Walla Walla County,$885
Whatcom County,$910
Whitman County,$786
Yakima County,$759
