,county_name,Percent,Year
1,Adams County,24.5,2011
2,Asotin County,14.6,2011
3,Benton County,12.2,2011
4,Chelan County,12.6,2011
5,Clallam County,13.6,2011
6,Clark County,11.7,2011
7,Columbia County,15.4,2011
8,Cowlitz County,17.5,2011
9,Douglas County,16.7,2011
10,Ferry County,20.8,2011
11,Franklin County,20.9,2011
12,Garfield County,12.9,2011
13,Grant County,20,2011
14,Grays Harbor County,17,2011
15,Island County,8.3,2011
16,Jefferson County,13.2,2011
17,King County,10.5,2011
18,Kitsap County,9.8,2011
19,Kittitas County,22.3,2011
20,Klickitat County,18.6,2011
21,Lewis County,13.5,2011
22,Lincoln County,11.5,2011
23,Mason County,16.3,2011
24,Okanogan County,21.4,2011
25,Pacific County,18,2011
26,Pend Oreille County,19.8,2011
27,Pierce County,11.6,2011
28,San Juan County,11.1,2011
29,Skagit County,12,2011
30,Skamania County,11.1,2011
31,Snohomish County,9.3,2011
32,Spokane County,14.4,2011
33,Stevens County,16.1,2011
34,Thurston County,10.5,2011
35,Wahkiakum County,16.6,2011
36,Walla Walla County,18.2,2011
37,Whatcom County,15.2,2011
38,Whitman County,30.3,2011
39,Yakima County,21.4,2011
197,Adams County,23.1,2012
198,Asotin County,13.7,2012
199,Benton County,12.9,2012
200,Chelan County,12.8,2012
201,Clallam County,13.5,2012
202,Clark County,12,2012
203,Columbia County,13.2,2012
204,Cowlitz County,17.9,2012
205,Douglas County,16.5,2012
206,Ferry County,20.5,2012
207,Franklin County,21.5,2012
208,Garfield County,9.7,2012
209,Grant County,20.1,2012
210,Grays Harbor County,18.6,2012
211,Island County,8.8,2012
212,Jefferson County,13.7,2012
213,King County,10.9,2012
214,Kitsap County,10.4,2012
215,Kittitas County,21.8,2012
216,Klickitat County,19.1,2012
217,Lewis County,13.9,2012
218,Lincoln County,14.4,2012
219,Mason County,17.4,2012
220,Okanogan County,20.6,2012
221,Pacific County,18.1,2012
222,Pend Oreille County,22.2,2012
223,Pierce County,11.9,2012
224,San Juan County,11.2,2012
225,Skagit County,12.6,2012
226,Skamania County,12.4,2012
227,Snohomish County,9.8,2012
228,Spokane County,14.8,2012
229,Stevens County,16.6,2012
230,Thurston County,11.1,2012
231,Wahkiakum County,16,2012
232,Walla Walla County,17.8,2012
233,Whatcom County,15.8,2012
234,Whitman County,32.3,2012
235,Yakima County,22.3,2012
40,Adams County,22.9,2013
41,Asotin County,13.6,2013
42,Benton County,12.8,2013
43,Chelan County,13.2,2013
44,Clallam County,14.6,2013
45,Clark County,12.4,2013
46,Columbia County,17.1,2013
47,Cowlitz County,17.6,2013
48,Douglas County,15.8,2013
49,Ferry County,20.7,2013
