COUNTY,monthly_rent
Adams County,$626
Asotin County,$657
Benton County,$770
Chelan County,$818
Clallam County,$973
Clark County,$912
Columbia County,$636
Cowlitz County,$707
Douglas County,$818
Ferry County,$638
Franklin County,$770
Garfield County,$626
Grant County,$759
Grays Harbor County,$673
Island County,$875
Jefferson County,$952
King County,"$1,104"
Kitsap County,$934
Kittitas County,$828
Klickitat County,$735
Lewis County,$830
Lincoln County,$722
Mason County,$879
Okanogan County,$679
Pacific County,$748
Pend Oreille County,$687
Pierce County *,$964
San Juan County,$938
Skagit County,$899
Skamania County,$912
Snohomish County,"$1,104"
Spokane County,$778
Stevens County,$664
Thurston County,$963
Wahkiakum County,$698
Walla Walla County,$760
Whatcom County,$902
Whitman County,$749
Yakima County,$700
